Rk,Season,Tm,Lg,G,W,L,FG,FGA,THREEP,THREEPA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,OFGM,OFGA,OFTM,OFTA,O3PM,O3PA,OppORB,OppDRB,OppAsst,OppSTL,OppBlk,OppTOV,OppPF
206,2003-04,DEN,NBA,82,43,39,2993,6763,331,985,1655,2159,1083,2387,3470,1794,745,520,1278,1804,3019,6662,1470,2020,376,1056,1056,2465,1931,664,479,1343,1895
117,2003-04,DET,NBA,82,54,28,2747,6314,333,968,1561,2074,1014,2492,3506,1702,659,570,1241,1664,2633,6378,1287,1730,356,1180,980,2353,1561,647,410,1209,1877
83,2003-04,GSW,NBA,82,37,45,2875,6511,429,1283,1470,2028,1002,2533,3535,1681,576,389,1211,1691,2948,6630,1399,1875,414,1107,981,2532,1762,666,417,1101,1801
22,2003-04,HOU,NBA,82,45,37,2738,6195,515,1406,1371,1774,847,2647,3494,1579,560,443,1373,1762,2636,6405,1491,2024,457,1227,908,2351,1689,710,359,1048,1694
152,2003-04,IND,NBA,82,61,21,2753,6322,449,1281,1538,2014,965,2452,3417,1774,726,411,1182,1709,2671,6179,1350,1800,329,1014,867,2423,1649,581,513,1242,1794
184,2003-04,LAC,NBA,82,28,54,2817,6579,329,1024,1808,2302,1149,2416,3565,1653,594,376,1344,1816,3075,6687,1545,2086,452,1256,1033,2358,1874,693,437,1070,1861
81,2003-04,LAL,NBA,82,56,26,3028,6676,365,1115,1631,2352,1001,2535,3536,1948,682,379,1132,1732,2920,6640,1472,1964,420,1247,922,2558,1708,616,308,1186,2023
210,2003-04,MEM,NBA,82,50,32,2963,6657,447,1314,1557,2143,1047,2381,3428,1915,795,565,1226,1903,2859,6550,1643,2150,369,1091,1098,2508,1674,673,461,1319,1888
141,2003-04,MIA,NBA,82,42,40,2729,6417,485,1357,1459,1915,940,2459,3399,1565,590,313,1137,1812,2658,6206,1612,2100,431,1256,893,2486,1525,578,439,1161,1728
106,2003-04,MIL,NBA,82,41,41,2970,6650,401,1145,1698,2192,960,2502,3462,1872,554,383,1110,1668,3034,6719,1428,1932,456,1296,983,2521,1870,615,405,1115,1877
23,2003-04,MIN,NBA,82,58,24,3033,6571,326,897,1361,1743,875,2645,3520,1890,561,462,1043,1731,2741,6625,1426,1893,395,1181,1001,2399,1701,547,296,1051,1653
135,2003-04,NJN,NBA,82,47,35,2813,6372,377,1123,1398,1856,862,2473,3335,2009,709,322,1209,1722,2693,6303,1392,1830,418,1193,874,2471,1627,656,374,1243,1739
183,2003-04,NOH,NBA,82,41,41,2772,6605,531,1666,1454,1937,1091,2418,3509,1716,708,346,1228,1715,2843,6443,1407,1877,444,1301,972,2477,1790,613,429,1204,1734
75,2003-04,NYK,NBA,82,39,43,2881,6513,406,1115,1374,1732,950,2543,3493,1695,608,391,1289,1897,2785,6491,1678,2198,415,1228,950,2444,1676,675,384,1079,1599
238,2003-04,ORL,NBA,82,21,61,2904,6768,429,1248,1474,2000,1003,2350,3353,1584,547,308,1123,1744,3169,6804,1458,1964,491,1301,1072,2570,2004,625,444,1057,1691
192,2003-04,PHI,NBA,82,33,49,2682,6260,339,992,1512,2009,941,2408,3349,1640,654,358,1307,1701,2751,6369,1474,1982,443,1329,996,2398,1747,678,462,1185,1757
193,2003-04,PHO,NBA,82,29,53,2958,6671,415,1202,1392,1865,924,2406,3330,1586,734,383,1249,1862,2975,6671,1601,2092,479,1374,1038,2550,1760,649,431,1232,1589
218,2003-04,POR,NBA,82,41,41,2898,6467,381,1102,1263,1728,1040,2376,3416,1768,613,443,1213,1554,2954,6567,1219,1618,417,1222,1016,2292,1912,657,390,1066,1533
115,2003-04,SAC,NBA,82,55,27,3103,6711,601,1498,1626,2044,888,2492,3380,2152,710,325,1137,1586,3140,6921,1333,1780,409,1206,1080,2521,1743,651,413,1175,1817
15,2003-04,SAS,NBA,82,57,25,2842,6434,408,1140,1409,2069,1029,2669,3698,1676,661,537,1203,1667,2613,6388,1372,1844,311,951,909,2459,1419,635,381,1194,1837
252,2003-04,SOK,NBA,82,37,45,2939,6590,723,1936,1363,1782,907,2318,3225,1782,661,387,1188,1784,2980,6622,1570,2028,486,1394,1068,2430,1728,629,386,1158,1658
180,2003-04,TOR,NBA,82,33,49,2654,6348,461,1294,1237,1650,830,2419,3249,1574,604,402,1164,1748,2722,6365,1536,2055,273,889,1034,2662,1518,590,333,1137,1619
261,2003-04,UTA,NBA,82,42,40,2690,6172,252,786,1639,2196,1103,2272,3375,1671,583,494,1365,2096,2541,5879,1874,2431,415,1209,868,2131,1528,666,530,1216,1999
204,2003-04,WAS,NBA,82,25,57,2758,6556,433,1269,1579,2211,1115,2392,3507,1537,733,406,1439,1712,3061,6741,1444,1874,424,1238,1048,2520,1966,787,446,1269,1783
248,2004-05,ATL,NBA,82,13,69,2942,6672,304,973,1417,1994,1100,2335,3435,1614,629,344,1319,2009,3044,6389,1846,2396,467,1232,902,2483,1803,716,484,1235,1777
169,2004-05,BOS,NBA,82,45,37,3046,6511,437,1252,1775,2323,909,2438,3347,1810,667,423,1297,2000,2960,6664,1825,2423,488,1370,1039,2427,1859,714,402,1248,1937
247,2004-05,CHA,NBA,82,18,64,2961,6859,320,881,1487,2096,1083,2335,3418,1794,695,440,1192,1894,3015,6507,1748,2279,442,1224,959,2586,1768,624,446,1304,1857
42,2004-05,CHI,NBA,82,47,35,2849,6592,511,1433,1536,2048,1001,2591,3592,1743,576,369,1371,2028,2763,6548,1716,2305,416,1245,979,2524,1715,685,434,1272,1914
237,2004-05,CLE,NBA,82,42,40,2990,6687,300,904,1634,2174,1117,2352,3469,1851,654,461,1141,1850,2913,6444,1601,2135,422,1122,938,2324,1737,549,419,1226,1770
84,2004-05,DAL,NBA,82,58,24,3058,6691,463,1273,1826,2314,990,2530,3520,1610,708,461,1102,1827,2941,6712,1601,2123,451,1366,1072,2467,1714,584,399,1258,1898
133,2004-05,DEN,NBA,82,49,33,3038,6615,320,940,1765,2313,967,2473,3440,1958,750,489,1224,1878,2950,6606,1632,2189,463,1342,975,2441,1778,636,458,1325,1960
170,2004-05,GSW,NBA,82,34,48,3029,7039,624,1774,1412,1955,1069,2436,3505,1811,642,420,1112,1833,3133,6838,1555,2087,450,1240,1057,2771,1858,570,417,1231,1782
39,2004-05,HOU,NBA,82,51,31,2846,6419,553,1521,1551,1986,874,2601,3475,1733,563,378,1135,1807,2720,6423,1571,2116,454,1343,892,2444,1696,607,335,1091,1773
182,2004-05,IND,NBA,82,44,38,2668,6169,542,1575,1748,2206,868,2418,3286,1489,615,357,1173,1890,2768,6284,1637,2202,391,1071,972,2416,1540,549,398,1177,1883
149,2004-05,LAC,NBA,82,37,45,2924,6368,231,669,1770,2274,980,2455,3435,1901,599,422,1290,1819,2936,6618,1555,2041,485,1317,986,2255,1732,638,393,1128,1934
98,2004-05,LAL,NBA,82,34,48,2895,6629,644,1813,1661,2137,1028,2511,3539,1672,508,344,1176,1794,3141,6928,1507,1931,549,1522,1023,2453,2001,627,420,968,1814
256,2004-05,MEM,NBA,82,45,37,2802,6271,531,1486,1526,2024,887,2307,3194,1716,699,476,1197,1910,2684,6215,1679,2179,426,1215,993,2387,1633,612,476,1279,1852
25,2004-05,MIA,NBA,82,59,23,3097,6368,475,1260,1658,2466,887,2639,3526,1790,528,474,1127,1814,2865,6705,1621,2134,441,1269,922,2397,1620,611,264,1048,2020
194,2004-05,MIL,NBA,82,30,52,2964,6580,325,925,1720,2229,985,2405,3390,1720,529,289,1132,1797,3098,6678,1559,2022,463,1349,935,2413,1953,611,370,1087,1952
48,2004-05,MIN,NBA,82,44,38,3045,6629,395,1145,1449,1820,947,2580,3527,1918,460,447,1079,1774,2967,6776,1413,1880,468,1291,1032,2359,1783,540,323,954,1629
207,2004-05,NJN,NBA,82,42,40,2753,6419,435,1203,1555,2039,855,2387,3242,1772,650,308,1164,1985,2710,6167,1714,2304,485,1319,874,2503,1666,601,402,1303,1880
259,2004-05,NOH,NBA,82,18,64,2718,6556,415,1316,1401,1830,1019,2281,3300,1724,550,310,1217,1883,2847,6299,1644,2122,494,1346,947,2485,1742,634,452,1182,1728
202,2004-05,NYK,NBA,82,33,49,2978,6599,441,1240,1580,2060,965,2393,3358,1665,629,260,1204,1942,3001,6454,1711,2264,464,1276,969,2448,1697,602,389,1222,1736
74,2004-05,ORL,NBA,82,36,46,3034,6679,320,916,1772,2335,1038,2544,3582,1583,633,441,1322,1937,3081,6826,1739,2306,443,1291,1024,2428,1747,698,354,1176,1920
80,2004-05,PHI,NBA,82,43,39,2946,6736,505,1453,1731,2194,909,2536,3445,1710,756,321,1274,1878,2930,6618,1764,2299,565,1560,952,2663,1878,681,383,1372,1929
20,2004-05,PHO,NBA,82,62,20,3351,7018,796,2026,1556,2080,967,2652,3619,1927,572,453,1125,1563,3328,7485,1320,1775,494,1476,1233,2550,1741,627,342,1108,1750
196,2004-05,POR,NBA,82,27,55,2896,6422,420,1161,1409,1944,970,2404,3374,1722,583,544,1308,1703,3056,6842,1397,1851,440,1283,1149,2312,1923,700,414,1098,1670
148,2004-05,SAC,NBA,82,50,32,3203,6978,522,1396,1577,2004,1023,2455,3478,2005,674,316,1073,1685,3186,6941,1485,2011,471,1318,1102,2532,1766,622,365,1196,1761
120,2004-05,SAS,NBA,82,59,23,2923,6450,507,1395,1535,2120,987,2489,3476,1771,613,543,1126,1717,2712,6359,1501,1955,323,881,893,2403,1385,594,421,1246,1891
254,2004-05,SOK,NBA,82,52,30,2882,6498,666,1824,1683,2131,1041,2311,3352,1487,553,338,1113,1944,2932,6382,1591,2124,470,1317,930,2174,1698,508,390,1127,1948
160,2004-05,TOR,NBA,82,33,49,2952,6656,648,1681,1626,2101,844,2444,3288,1670,621,317,1087,1876,3133,6708,1610,2165,435,1222,991,2720,1814,507,360,1188,1795
263,2004-05,UTA,NBA,82,26,56,2828,6301,250,762,1719,2272,1047,2243,3290,1826,541,374,1292,2189,2731,5965,2027,2653,486,1297,859,2230,1592,646,474,1213,2057
222,2004-05,WAS,NBA,82,45,37,2966,6794,514,1498,1795,2476,1133,2374,3507,1563,716,347,1172,1807,3099,6748,1549,2034,521,1432,1017,2510,1885,586,412,1276,1994
266,2005-06,ATL,NBA,82,26,56,2946,6496,424,1154,1656,2207,1069,2232,3301,1625,587,394,1284,2054,3075,6433,1768,2372,444,1205,981,2335,1689,597,422,1227,1855
171,2005-06,BOS,NBA,82,33,49,2951,6322,467,1290,1664,2204,813,2432,3245,1716,578,422,1359,2033,2944,6462,1825,2457,446,1265,910,2369,1763,688,404,1210,1837
262,2005-06,CHA,NBA,82,26,56,2961,6843,428,1261,1593,2186,990,2270,3260,1717,822,354,1167,1960,3065,6410,1683,2283,458,1285,940,2667,1881,577,441,1464,1929
38,2005-06,CHI,NBA,82,41,41,3004,6737,560,1477,1452,1967,906,2602,3508,1804,508,345,1224,2038,2773,6515,1921,2472,501,1428,881,2541,1652,611,420,1228,1883
99,2005-06,CLE,NBA,82,50,32,2908,6412,497,1465,1689,2318,959,2511,3470,1560,567,392,1137,1733,2949,6481,1462,1970,459,1291,807,2421,1666,540,357,1079,1842
172,2005-06,DAL,NBA,82,60,22,2948,6375,416,1113,1818,2322,1030,2431,3461,1473,593,488,1112,1834,2801,6319,1626,2163,404,1120,935,2209,1433,536,400,1151,1958
122,2005-06,DEN,NBA,82,44,38,3078,6672,350,1076,1721,2312,903,2486,3389,1921,698,463,1216,1863,3070,6764,1538,2090,530,1480,965,2469,1959,586,436,1323,1911
